feature,importance
gender_unknown,0.3558142
channel_social,0.111347556
age_missing,0.09017004
income_missing,0.08311205
offer_type_bogo,0.07934477
reward,0.025463684
offer_type_discount,0.02027563
avg_spend_before,0.018654397
channel_mobile,0.018324515
membership_duration_days,0.017037442
gender_M,0.012483768
income_to_difficulty_ratio,0.012383373
difficulty,0.012290157
duration_days,0.0115524465
income_imputed,0.01046603
offers_received_before,0.009988677
gender_O,0.0096818805
n_transactions_before,0.009397245
offer_view_rate_before,0.009089377
gender_F,0.008649152
total_spend_before,0.008553329
age_imputed,0.008505667
spend_last_7d,0.008279129
days_since_last_transaction,0.008162463
trans_last_7d,0.007164838
reward_to_difficulty_ratio,0.0071066357
offer_completion_rate_before,0.0068241945
offers_viewed_before,0.006803553
offers_completed_before,0.0066933664
channel_web,0.0063803936
channel_email,0.0
days_since_last_transaction_missing,0.0
